deepResearchRank,full_name,owner,url,domain,language,stars,forks,technicalValue,personalRelevance,priorityScore,isUTAS,isAI,isData,isGIS,isActive,isArchived,isStudent,isProductionReady,created_at,pushed_at,techStack,chineseDescription,recommendation
18,cjabradshaw/devilpopmodel,cjabradshaw,https://github.com/cjabradshaw/devilpopmodel,Data Analysis,MATLAB,0,0,36,100,62,false,true,true,false,false,false,false,false,2021-02-16T09:50:36Z,2021-11-16T13:49:57Z,MATLAB;ML / AI,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,值得研究：主题明确，可能提供数据、技术栈或本地生态线索，建议阅读 README 和最近提交。
19,ozjimbob/ecbtools,ozjimbob,https://github.com/ozjimbob/ecbtools,Data Analysis,R,2,2,46,70,60,true,false,true,false,false,false,false,true,2013-09-03T01:58:43Z,2021-01-17T20:26:26Z,R,塔斯马尼亚大学环境变化生物学实验室开发的 R 工具。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
20,mave1/KIT301---Mapping-Crime-Walks,mave1,https://github.com/mave1/KIT301---Mapping-Crime-Walks,GIS / Geography,Dart,2,0,59,61,60,true,false,false,true,true,false,true,true,2024-03-06T10:43:48Z,2024-10-30T05:07:05Z,Dart;GIS,面向游客的塔斯马尼亚犯罪历史步行路线应用。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
21,UTAS-physics/KYA211,UTAS-physics,https://github.com/UTAS-physics/KYA211,Data Analysis,Jupyter Notebook,0,0,48,78,60,true,false,true,false,true,false,false,false,2026-02-27T03:37:09Z,2026-03-26T04:44:57Z,Jupyter Notebook;Python,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
22,kaseykhanhpham/eucalyptus-hybrid-resequencing,kaseykhanhpham,https://github.com/kaseykhanhpham/eucalyptus-hybrid-resequencing,Data Analysis,Shell,5,0,58,76,59,false,false,true,false,true,false,false,false,2022-05-28T02:34:10Z,2026-02-08T02:26:10Z,Shell,分析塔斯马尼亚桉树相关基因组/重测序数据的研究流水线。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
23,tinnamchoi/hare-clark-cpp,tinnamchoi,https://github.com/tinnamchoi/hare-clark-cpp,Education / UTAS,C++,3,0,63,54,59,true,false,true,false,true,false,false,true,2024-03-13T10:35:54Z,2024-10-15T19:14:07Z,C++;Data Engineering,实现塔斯马尼亚和澳大利亚首都领地使用的 Hare-Clark 选举制度的 C++ 库。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
24,MetalOctopus/Tasmanian-Geology-Map-Downloader,MetalOctopus,https://github.com/MetalOctopus/Tasmanian-Geology-Map-Downloader,GIS / Geography,Python,0,0,60,68,59,false,false,false,true,true,false,false,true,2026-02-12T02:36:01Z,2026-02-12T08:11:41Z,Python;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
25,Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,Jonah-Wilbur,https://github.com/Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,Data Analysis,Jupyter Notebook,0,0,41,88,58,false,false,true,false,true,false,false,false,2024-03-06T23:12:11Z,2025-01-17T02:48:26Z,Jupyter Notebook;Python,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
26,DPIPWE/LIST_Tools_Pro_Addin,DPIPWE,https://github.com/DPIPWE/LIST_Tools_Pro_Addin,GIS / Geography,Unknown,1,0,50,72,58,false,false,false,true,false,false,false,true,2022-03-31T06:32:52Z,2023-06-14T08:22:28Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
27,cpunj/Gov_hack,cpunj,https://github.com/cpunj/Gov_hack,Data Analysis,Unknown,0,2,39,80,58,false,false,true,false,false,false,false,true,2020-08-15T05:30:03Z,2020-08-16T01:54:42Z,,来自 Project Gutenberg 的塔斯马尼亚历史/旅行文本项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
28,hastings-lab/tasmanian-devil-sei-models-teamawesome,hastings-lab,https://github.com/hastings-lab/tasmanian-devil-sei-models-teamawesome,Data Analysis,Unknown,0,0,36,90,57,false,true,true,false,false,false,true,false,2018-05-21T23:28:00Z,2018-05-21T23:28:12Z,ML / AI,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
29,JonathanHolvey/tastopo,JonathanHolvey,https://github.com/JonathanHolvey/tastopo,GIS / Geography,Python,0,0,53,68,57,false,false,false,true,true,false,false,true,2021-08-01T12:28:00Z,2025-07-23T11:49:42Z,Python;GIS,用于制作或展示地形图的项目，数据层覆盖新南威尔士州和塔斯马尼亚。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
30,SIDNut/nwrrr-waste-feed,SIDNut,https://github.com/SIDNut/nwrrr-waste-feed,Government / Public Data,Python,0,0,50,70,57,false,false,false,false,true,false,false,true,2026-04-25T03:09:24Z,2026-04-25T03:09:28Z,Python,抓取塔斯马尼亚地方议会规划申请数据的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
31,dtcrompton/tasmania-deforestation-detection,dtcrompton,https://github.com/dtcrompton/tasmania-deforestation-detection,AI / Machine Learning,Python,0,0,50,78,56,false,true,false,false,true,false,false,false,2026-03-09T12:11:33Z,2026-04-07T02:55:48Z,Python;ML / AI,使用卫星影像/深度学习检测塔斯马尼亚森林砍伐的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
32,FerdianFy13/Tasmanian-Devil,FerdianFy13,https://github.com/FerdianFy13/Tasmanian-Devil,Web / App,SCSS,1,0,40,74,55,false,false,false,false,false,false,false,true,2022-11-14T01:39:55Z,2022-11-29T03:24:28Z,SCSS,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
33,sage3648/KIT305-Mobile-Application-Development,sage3648,https://github.com/sage3648/KIT305-Mobile-Application-Development,Data Analysis,Java,0,0,36,70,55,true,false,true,false,false,false,true,true,2019-06-20T10:44:49Z,2019-06-20T11:50:14Z,Java,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
34,NordicFlame/SimpleEcho,NordicFlame,https://github.com/NordicFlame/SimpleEcho,Data Analysis,Java,0,0,36,70,55,true,false,true,false,false,false,false,true,2020-08-18T12:26:53Z,2020-08-18T12:45:16Z,Java,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
35,danielmuar/EO_GEOM7001_PROJECT,danielmuar,https://github.com/danielmuar/EO_GEOM7001_PROJECT,AI / Machine Learning,Jupyter Notebook,0,1,45,78,55,false,true,false,false,true,false,false,false,2024-10-25T00:45:47Z,2024-10-25T01:57:55Z,Jupyter Notebook;Python;ML / AI,使用卫星影像/深度学习检测塔斯马尼亚森林砍伐的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
36,siskavera/tasmanian-devil,siskavera,https://github.com/siskavera/tasmanian-devil,GIS / Geography,Matlab,1,0,38,82,54,false,true,false,true,false,false,false,false,2017-09-25T08:56:59Z,2018-02-21T14:31:00Z,Matlab;GIS;ML / AI;MATLAB,围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
37,Jayden-Kearney/tasmania_species_app,Jayden-Kearney,https://github.com/Jayden-Kearney/tasmania_species_app,Web / App,HTML,0,0,43,70,54,false,false,false,false,true,false,false,true,2025-10-12T00:21:45Z,2025-10-16T03:00:59Z,HTML,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
38,kittoyeah/regionalmate,kittoyeah,https://github.com/kittoyeah/regionalmate,Education / UTAS,HTML,0,0,29,82,54,true,false,false,false,true,false,false,false,2025-08-17T08:22:14Z,2025-08-20T07:31:40Z,HTML,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
39,willemolding/penguin-tracks-vis,willemolding,https://github.com/willemolding/penguin-tracks-vis,Marine Science,JavaScript,3,0,30,85,53,false,false,true,false,false,false,false,false,2016-02-15T04:10:15Z,2016-03-02T00:48:35Z,JavaScript;JavaScript / Web,展示塔斯马尼亚南部小企鹅觅食行为或相关生态数据的可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
40,Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,Ryan-Ashton,https://github.com/Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,AI / Machine Learning,Jupyter Notebook,0,0,36,82,53,false,true,false,false,false,false,false,false,2023-02-17T05:47:03Z,2024-04-05T23:37:11Z,Jupyter Notebook;Python;ML / AI,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
41,RobWilsonTas/Tas_Aspect_Dryness,RobWilsonTas,https://github.com/RobWilsonTas/Tas_Aspect_Dryness,Data Analysis,Python,0,0,62,62,53,false,true,true,false,true,false,false,false,2026-04-08T22:59:44Z,2026-04-08T23:06:57Z,Python;ML / AI,与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
42,maxfire2008/metrotas-cancellations-history,maxfire2008,https://github.com/maxfire2008/metrotas-cancellations-history,Government / Public Data,HTML,0,0,36,74,53,false,false,false,false,false,false,false,true,2023-08-25T09:46:55Z,2023-09-25T15:00:20Z,HTML,Metro Tasmania 公交准点、取消或运营信息数据项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
43,Bigben83/tasmanian_planbuild,Bigben83,https://github.com/Bigben83/tasmanian_planbuild,Data Analysis,Ruby,0,0,41,76,52,false,false,true,false,true,false,false,false,2025-08-05T04:03:19Z,2025-08-06T21:53:04Z,Ruby,与塔斯马尼亚地方政府 PlanBuild/规划系统相关的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
44,sylviapump/endemic-birds-of-tasmania,sylviapump,https://github.com/sylviapump/endemic-birds-of-tasmania,Data Analysis,Unknown,0,0,41,76,52,false,false,true,false,true,false,false,false,2024-09-23T00:45:16Z,2024-09-23T00:45:20Z,,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
45,43South/tasmaniada,43South,https://github.com/43South/tasmaniada,Data Analysis,Python,2,1,30,80,51,false,false,true,false,false,false,false,false,2021-09-18T08:21:14Z,2021-10-01T08:32:33Z,Python;Data Engineering,抓取塔斯马尼亚地方议会规划申请数据的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
46,DamienIrving/hydrotas,DamienIrving,https://github.com/DamienIrving/hydrotas,Data Analysis,Jupyter Notebook,0,0,34,80,51,false,false,true,false,false,false,false,false,2023-04-04T07:19:45Z,2023-05-04T22:28:58Z,Jupyter Notebook;Python,与 Hydro Tasmania 水电、水库或水文数据相关的数据处理/可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
47,TripMomentIntern/2026_Tasmania,TripMomentIntern,https://github.com/TripMomentIntern/2026_Tasmania,Web / App,HTML,0,0,50,58,51,false,false,false,false,true,false,false,true,2026-05-02T03:29:31Z,2026-05-02T03:29:35Z,HTML,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
48,surveyreports/utas-spc,surveyreports,https://github.com/surveyreports/utas-spc,Data Analysis,HTML,0,0,34,70,51,true,false,true,false,false,false,false,false,2022-07-31T17:33:23Z,2022-08-05T07:23:42Z,HTML,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
49,giftfairy/Discover-George-Town,giftfairy,https://github.com/giftfairy/Discover-George-Town,Web / App,HTML,0,0,50,58,51,false,false,false,false,true,false,false,true,2026-01-18T08:36:12Z,2026-01-19T08:03:02Z,HTML,围绕塔斯马尼亚旅行、目的地、路线或地方体验的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
50,mdsumner/tasmapr,mdsumner,https://github.com/mdsumner/tasmapr,GIS / Geography,R,2,1,42,60,50,false,false,false,true,false,false,false,true,2017-06-08T14:23:07Z,2019-11-14T02:15:11Z,R;GIS,通过 R/mapview 获取塔斯马尼亚地图服务器图层的工具。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
51,bluewingedsoul/EWE-MarinePredators-Tasmania,bluewingedsoul,https://github.com/bluewingedsoul/EWE-MarinePredators-Tasmania,Marine Science,Unknown,0,0,43,61,50,false,false,false,false,true,false,false,true,2025-06-18T05:13:46Z,2025-06-18T05:15:28Z,,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
52,ElijahCuff/Yellow-Pages-Scraper-Australia,ElijahCuff,https://github.com/ElijahCuff/Yellow-Pages-Scraper-Australia,GIS / Geography,PHP,2,0,64,44,50,false,false,true,true,false,false,false,true,2021-03-19T06:18:59Z,2022-12-14T17:22:22Z,PHP;GIS;Data Engineering,塔斯马尼亚朗塞斯顿城市尺度开放许可 LIDAR/三维扫描数据项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
53,43South/westtamarda,43South,https://github.com/43South/westtamarda,Data Analysis,Python,0,0,36,68,50,false,false,true,false,false,false,false,true,2021-09-17T07:33:51Z,2021-09-19T00:13:29Z,Python;Data Engineering,塔斯马尼亚政府、公共服务、开放数据或地方议会信息项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
54,mahirs291/house-price-analysis,mahirs291,https://github.com/mahirs291/house-price-analysis,Data Analysis,Jupyter Notebook,0,0,55,52,50,false,false,true,false,true,false,false,true,2024-06-20T19:34:09Z,2024-06-21T08:54:14Z,Jupyter Notebook;Python,塔斯马尼亚房地产、房价、贷款或地产展示相关项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
55,kurankat/tasmapper,kurankat,https://github.com/kurankat/tasmapper,GIS / Geography,Go,0,0,46,60,50,false,false,false,true,false,false,false,true,2021-11-01T00:35:58Z,2024-03-05T03:32:37Z,Go;GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
56,utasanalytics/utas-analytics,utasanalytics,https://github.com/utasanalytics/utas-analytics,Data Analysis,PHP,2,0,28,70,49,true,false,true,false,false,false,true,false,2019-04-13T00:55:53Z,2019-05-28T09:28:37Z,PHP,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
57,Jamzy01/tasmanian-bike-tours-website,Jamzy01,https://github.com/Jamzy01/tasmanian-bike-tours-website,Data Analysis,TypeScript,0,0,48,56,49,false,false,true,false,false,false,false,true,2023-06-27T06:39:09Z,2023-06-28T04:55:06Z,TypeScript;JavaScript / Web,原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
58,franciscoalbergoli/Sea_Urchin_Catcher,franciscoalbergoli,https://github.com/franciscoalbergoli/Sea_Urchin_Catcher,Marine Science,JavaScript,0,0,36,73,49,false,false,false,false,true,false,false,false,2026-02-13T02:48:52Z,2026-02-13T02:51:11Z,JavaScript;JavaScript / Web,塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
59,cooindaonthebeach/cooindaonthebeach,cooindaonthebeach,https://github.com/cooindaonthebeach/cooindaonthebeach,Data Analysis,Unknown,0,0,48,64,49,false,false,true,false,true,false,false,false,2026-01-20T05:34:33Z,2026-01-20T05:34:33Z,,塔斯马尼亚旅游、住宿、行程或目的地展示项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
60,nf-s/multiverse-website,nf-s,https://github.com/nf-s/multiverse-website,Web / App,TypeScript,0,1,45,58,49,false,false,false,false,true,false,false,true,2023-07-13T08:31:44Z,2025-01-20T13:39:29Z,TypeScript;JavaScript / Web,围绕塔斯马尼亚旅行、目的地、路线或地方体验的项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
61,alexgleith/tasmap.org,alexgleith,https://github.com/alexgleith/tasmap.org,GIS / Geography,JavaScript,5,2,34,72,48,false,false,false,true,false,false,false,false,2016-07-30T00:58:38Z,2017-07-17T10:53:03Z,JavaScript;JavaScript / Web;GIS,塔斯马尼亚地图网站或地图展示项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
62,stuarta0/launceston-3d,stuarta0,https://github.com/stuarta0/launceston-3d,GIS / Geography,Unknown,5,1,32,72,48,false,false,false,true,false,false,false,false,2020-12-19T00:52:24Z,2020-12-19T09:33:28Z,GIS,塔斯马尼亚朗塞斯顿城市尺度开放许可 LIDAR/三维扫描数据项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
63,parisba/2026-ArtsTas-SL,parisba,https://github.com/parisba/2026-ArtsTas-SL,Web / App,Unknown,0,0,43,58,48,false,false,false,false,true,false,false,true,2025-11-05T00:09:49Z,2025-11-05T00:30:46Z,,Arts Tasmania 艺术资助或霍巴特艺术项目相关资料。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
64,jrcrisford/programming-portfolio-kit107,jrcrisford,https://github.com/jrcrisford/programming-portfolio-kit107,Student Projects,C,0,0,43,49,48,true,false,false,false,true,false,true,true,2025-06-15T11:03:58Z,2025-06-15T11:19:22Z,C,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
65,TheDarkPanther/TasmaniaMap,TheDarkPanther,https://github.com/TheDarkPanther/TasmaniaMap,GIS / Geography,Unknown,0,0,39,68,47,false,false,false,true,true,false,false,false,2025-03-12T23:54:50Z,2025-03-12T23:54:51Z,GIS,塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
66,nickfountainjones/PracticalsKPZ312,nickfountainjones,https://github.com/nickfountainjones/PracticalsKPZ312,Data Analysis,Unknown,0,2,25,70,47,true,false,true,false,false,false,false,false,2020-03-01T23:33:26Z,2020-03-09T22:15:30Z,R,塔斯马尼亚大学课程、学生项目、作业或研究代码。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
67,vanDemonian/TAS_data,vanDemonian,https://github.com/vanDemonian/TAS_data,Data Analysis,Unknown,0,0,22,80,47,false,false,true,false,false,false,false,false,2016-06-28T05:09:07Z,2016-09-20T03:14:22Z,,塔斯马尼亚专用数据集。,选择性查看：与 Tasmania 有关联，但价值取决于你的具体方向，可作为背景资料。
